m,v,gv,sp,diff
1,-180.0,-6.080067683056027e-33,-1.1080094660370048,1.1080094660370048
2,-180.0,1.1170100216345695e-32,0.8157268390500979,0.8157268390500979
3,-180.0,-6.311986308894066e-33,-0.9462397597698017,0.9462397597698017
4,-180.0,1.6838507017600504e-32,0.9678184211483158,0.9678184211483158
5,-180.0,-2.0624069236788545e-32,-0.9796430728792053,0.9796430728792053
6,-180.0,2.429705631742645e-32,0.9859321248810421,0.9859321248810421
7,-180.0,-2.8758635426802875e-32,-0.989697289062936,0.989697289062936
8,-180.0,3.5500741865591934e-32,0.9921289166395829,0.9921289166395829
9,-180.0,-3.3059695904968664e-32,-0.9937902602406844,0.9937902602406844
10,-180.0,3.844992233180332e-32,0.9949756372769402,0.9949756372769402
11,-180.0,-4.46557388465992e-32,-0.9958510519062117,0.9958510519062117
12,-180.0,4.4284056944305304e-32,0.9965159337243716,0.9965159337243716
13,-180.0,-5.12881139040301e-32,-0.9970327979882844,0.9970327979882844
14,-180.0,5.834702897921296e-32,0.9974425557741263,0.9974425557741263
15,-180.0,-6.026882549538909e-32,-0.9977728948866934,0.9977728948866934
16,-180.0,6.300364026541078e-32,0.998043097862174,0.998043097862174
17,-180.0,-6.917382261321072e-32,-0.9982669290174336,0.9982669290174336
18,-180.0,7.497516002635747e-32,0.99845442712295,0.99845442712295
19,-180.0,-8.574369734644771e-32,-0.9986130534719735,0.9986130534719735
20,-180.0,7.617287497805135e-32,0.9987484473177856,0.9987484473177856
21,-180.0,-8.24792432176053e-32,-0.9988649350019548,0.9988649350019548
22,-180.0,8.68852338450714e-32,0.9989658804771132,0.9989658804771132
23,-180.0,-8.505786217244758e-32,-0.9990539312905344,0.9990539312905344
24,-180.0,9.261307028093806e-32,0.9991311942067059,0.9991311942067059
25,-180.0,-1.0329343790829494e-31,-0.9991993625688274,0.9991993625688274
26,-180.0,9.990029708336916e-32,0.9992598099845661,0.9992598099845661
27,-180.0,-1.0677842074528526e-31,-0.9993136601426663,0.9993136601426663
28,-180.0,1.1473787131443156e-31,0.9993618394669411,0.9993618394669411
29,-180.0,-1.1772070541704949e-31,-0.9994051172660862,0.9994051172660862
30,-180.0,1.2631696765302816e-31,0.9994441366618706,0.9994441366618706
31,-180.0,-1.2717074918902257e-31,-0.9994794386395439,0.9994794386395439
32,-180.0,1.3001344675514089e-31,0.9995114809147297,0.9995114809147297
33,-180.0,-1.2827454441299403e-31,-0.9995406528555141,0.9995406528555141
34,-180.0,1.3490902587776749e-31,0.9995672873750856,0.9995672873750856
1,-179.8559423769508,0.002512262950967952,-1.1080028477754809,1.1105151107264488
2,-179.8559423769508,-0.005026521435129797,0.8157104116680565,0.8207369331031863
3,-179.8559423769508,0.007540748542060691,-0.9462067175554711,0.9537474660975318
4,-179.8559423769508,-0.010054927973588992,0.9677632547141273,0.9778181826877163
5,-179.8559423769508,0.01256904383692142,-0.9795594052024156,0.992128449039337
6,-179.8559423769508,-0.015083080238935976,0.985813661974219,1.000896742213155
7,-179.8559423769508,0.01759702128631458,-0.9895377207007267,1.0071347419870413
8,-179.8559423769508,-0.020110851087245373,0.9919219280677967,1.012032779155042
9,-179.8559423769508,0.022624553750712727,-0.9935295345973213,1.016154088348034
10,-179.8559423769508,-0.025138113385128773,0.99465485675023,1.0197929701353587
11,-179.8559423769508,0.02765151410200303,-0.9954638983241042,1.0231154124261073
12,-179.8559423769508,-0.03016474001151075,0.9960560888858101,1.026220828897321
13,-179.8559423769508,0.03267777522639299,-0.9964939438671788,1.0291717190935719
14,-179.8559423769508,-0.03519060386073766,0.9968183746563866,1.0320089785171243
15,-179.8559423769508,0.037703210028863024,-0.9970570694701032,1.0347602794989663
16,-179.8559423769508,-0.040215577847400374,0.9972293113346807,1.037444889182081
17,-179.8559423769508,0.04272769143412408,-0.9973488651223915,1.0400765565565155
18,-179.8559423769508,-0.04523953490826933,0.9974257702162094,1.0426653051244787
19,-179.8559423769508,0.04775109239092688,-0.9974674885737234,1.0452185809646501
20,-179.8559423769508,-0.050262348005990776,0.9974796601609183,1.047742008166909
21,-179.8559423769508,0.052773285876827294,-0.9974666120780841,1.0502398979549115
22,-179.8559423769508,-0.055283890131304844,0.9974317090809682,1.052715599212273
23,-179.8559423769508,0.05779414489816777,-0.9973775995632068,1.0551717444613746
24,-179.8559423769508,-0.06030403430838446,0.9973063911780767,1.0576104254864611
25,-179.8559423769508,0.06281354249574361,-0.9972197781993992,1.0600333206951429
26,-179.8559423769508,-0.06532265359586592,0.9971191352068473,1.0624417888027131
27,-179.8559423769508,0.06783135174741128,-0.9970055869022273,1.0648369386496386
28,-179.8559423769508,-0.07033962109107757,0.9968800607632163,1.0672196818542938
29,-179.8559423769508,0.07284744577130485,-0.9967433271929824,1.0695907729642873
30,-179.8559423769508,-0.0753548099339107,0.996596030448224,1.0719508403821347
31,-179.8559423769508,0.07786169772826398,-0.9964387126894592,1.0743004104177232
32,-179.8559423769508,-0.08036809330708328,0.9962718328478132,1.0766399261548965
33,-179.8559423769508,0.08287398082675164,-0.9960957815470428,1.0789697623737944
34,-179.8559423769508,-0.08537934444487702,0.9959108929961082,1.0812902374409852
1,-179.71188475390156,-0.005024510058578293,-1.1079829932470862,1.1029584831885078
2,-179.71188475390156,0.01005291588242802,0.8156611303139617,0.8056082144315336
3,-179.71188475390156,-0.015081068301411147,-0.9461075933713607,0.9310265250699497
4,-179.71188475390156,0.020108839364293106,0.9675977618553124,0.9474889224910193
5,-179.71188475390156,-0.025136101938288424,-0.9793084166201063,0.9541723146818178
6,-179.71188475390156,0.030162728902505404,0.9854583018787096,0.9552955729762043
7,-179.71188475390156,-0.035188593151188344,-0.9890590672264937,0.9538704740753053
8,-179.71188475390156,0.04021356759910944,0.991301048879314,0.9510874812802046
9,-179.71188475390156,-0.04523752518368029,-0.9927474946312536,0.9475099694475733
10,-179.71188475390156,0.0502603388659114,0.9936927221685732,0.9434323833026618
11,-179.71188475390156,-0.05528188163931835,-0.9943027387615736,0.9390208571222552
12,-179.71188475390156,0.060302026525662404,0.9946769789224358,0.9343749523967734
13,-179.71188475390156,-0.06532064658435029,-0.994877964118857,0.9295573175345067
14,-179.71188475390156,0.0703376149139106,0.9949466126644243,0.9246089977505136
15,-179.71188475390156,-0.07535280465244654,-0.9949106204791106,0.9195578158266641
16,-179.71188475390156,0.08036608898469257,0.9947892790054952,0.9144231900208026
17,-179.71188475390156,-0.08537734114336516,-0.9945963622056523,0.9092190210622871
18,-179.71188475390156,0.09038643441157693,0.9943419192012372,0.9039554847896603
19,-179.71188475390156,-0.09539324212775956,-0.9940334223213948,0.8986401801936352
20,-179.71188475390156,0.10039763768977791,0.9936765225258589,0.893278884836081
21,-179.71188475390156,-0.10539949455237053,-0.9932755585235368,0.8878760639711663
22,-179.71188475390156,0.11039868623850067,0.9928339072884875,0.8824352210499868
23,-179.71188475390156,-0.11539508633656144,-0.9923542300386117,0.8769591437020502
24,-179.71188475390156,0.1203885685059234,0.9918386478546173,0.8714500793486939
25,-179.71188475390156,-0.12537900647972952,-0.9912888690387851,0.8659098625590556
26,-179.71188475390156,0.13036627406794762,0.9907062827985935,0.8603400087306459
27,-179.71188475390156,-0.13535024516154848,-0.9900920290616397,0.8547417839000913
28,-179.71188475390156,0.1403307937330548,0.9894470511282311,0.8491162573951763
29,-179.71188475390156,-0.14530779384436182,-0.9887721358200168,0.8434643419756549
30,-179.71188475390156,0.15028111964409022,0.9880679444071637,0.8377868247630735
31,-179.71188475390156,-0.1552506453746667,-0.9873350366578506,0.8320843912831839
32,-179.71188475390156,0.16021624537575183,0.9865738897043308,0.8263576443285789
33,-179.71188475390156,-0.16517779408699707,-0.9857849129642509,0.8206071188772538
34,-179.71188475390156,0.17013516604664355,0.9849684600325601,0.8148332939859165
1,-179.56782713085235,0.007536725479605396,-1.1079499032203293,1.1154866286999348
2,-179.56782713085235,-0.015079056357327418,0.8155789973638338,0.8306580537211612
3,-179.56782713085235,0.022620530520454336,-0.9459423945938733,0.9685629251143276
4,-179.56782713085235,-0.03016071769252421,0.9673219619022796,0.9974826795948039
5,-179.56782713085235,0.03769918888280677,-0.9788901504738263,1.0165893393566332
6,-179.56782713085235,-0.04523551519701318,0.9848661304622838,1.0301016456592968
7,-179.56782713085235,0.05276926786168818,-0.9882614834604678,1.041030751322156
8,-179.56782713085235,-0.060300018251444334,0.9902665386182574,1.0505665568697018
9,-179.56782713085235,0.06782733791185065,-0.9914445511621751,1.0592718890740258
10,-179.56782713085235,-0.07535079858082057,0.9920898543932997,1.0674406529741203
11,-179.56782713085235,0.08286997222078088,-0.9923684765350672,1.0752384487558482
12,-179.56782713085235,-0.09038443103270452,0.992379877098477,1.0827643081311815
13,-179.56782713085235,0.09789374748882113,-0.9921866059575108,1.090080353446332
14,-179.56782713085235,-0.10539749435494562,0.9918296129028893,1.097227107257835
15,-179.56782713085235,0.11289524471058292,-0.9913366282147146,1.1042318729252976
16,-179.56782713085235,-0.12038657197858425,0.9907269804685025,1.1111135524470868
