q,q_ind_npass,v,gv,sp,diff
25.302020202020206,51,-180.0,1.08867432354148,0.20013197875107408,0.888542344790406
25.302020202020206,51,-179.8559423769508,1.0886789243689745,0.20014642251548917,0.8885325018534853
25.302020202020206,51,-179.71188475390156,1.0886927224871423,0.20018975508402587,0.8885029674031164
25.302020202020206,51,-179.56782713085235,1.0887157048028937,0.20026198028206166,0.888453724520832
25.302020202020206,51,-179.42376950780312,1.0887478494939131,0.20036310448357064,0.8883847450103425
25.302020202020206,51,-179.2797118847539,1.0887891260079183,0.20049313660864018,0.8882959893992781
25.302020202020206,51,-179.13565426170467,1.0888394950616471,0.2006520881199926,0.8881874069416545
25.302020202020206,51,-178.99159663865547,1.0888989086394794,0.20083997301851092,0.8880589356209685
25.302020202020206,51,-178.84753901560623,1.088967309991906,0.2010568078377679,0.887910502154138
25.302020202020206,51,-178.70348139255702,1.089044633633574,0.2013026116375544,0.8877420219960196
25.302020202020206,51,-178.55942376950782,1.0891308053411797,0.20157740599640642,0.8875533993447733
25.302020202020206,51,-178.41536614645858,1.0892257421510292,0.20188121500312742,0.8873445271479018
25.302020202020206,51,-178.27130852340937,1.0893293523563565,0.20221406524730284,0.8871152871090537
25.302020202020206,51,-178.12725090036014,1.0894415355044313,0.2025759858088031,0.8868655496956283
25.302020202020206,51,-177.98319327731093,1.0895621823933976,0.20296700824627248,0.8865951741471252
25.302020202020206,51,-177.8391356542617,1.0896911750688922,0.2033871665845975,0.8863040084842948
25.302020202020206,51,-177.6950780312125,1.0898283868204992,0.20383649730135395,0.8859918895191452
25.302020202020206,51,-177.55102040816325,1.0899736821779433,0.20431503931222253,0.8856586428657208
25.302020202020206,51,-177.40696278511405,1.0901269169071819,0.2048228339553728,0.8853040829518091
25.302020202020206,51,-177.26290516206484,1.0902879380062787,0.2053599249748076,0.8849280130314711
25.302020202020206,51,-177.1188475390156,1.090456583701192,0.20592635850266294,0.884530225198529
25.302020202020206,51,-176.9747899159664,1.0906326834413695,0.20652218304045453,0.884110500400915
25.302020202020206,51,-176.83073229291716,1.0908160578952966,0.2071474494392688,0.8836686084560278
25.302020202020206,51,-176.68667466986795,1.091006518945941,0.20780221087888825,0.8832043080670527
25.302020202020206,51,-176.54261704681872,1.0912038696861253,0.20848652284584532,0.8827173468402799
25.302020202020206,51,-176.3985594237695,1.0914079044139087,0.20920044311039612,0.8822074613035126
25.302020202020206,51,-176.25450180072028,1.0916184086278857,0.20994403170240777,0.881674376925478
25.302020202020206,51,-176.11044417767107,1.0918351590225743,0.21071735088614982,0.8811178081364245
25.302020202020206,51,-175.96638655462186,1.0920579234837944,0.2115204651339835,0.8805374583498109
25.302020202020206,51,-175.82232893157263,1.092286461084108,0.21235344109893545,0.8799330199851727
25.302020202020206,51,-175.67827130852342,1.0925205220783645,0.21321634758615252,0.879304174492212
25.302020202020206,51,-175.53421368547419,1.0927598478993839,0.21410925552322527,0.8786505923761586
25.302020202020206,51,-175.39015606242498,1.0930041711538014,0.21503223792937004,0.8779719332244313
25.302020202020206,51,-175.24609843937574,1.0932532156180772,0.21598536988346176,0.8772678457346155
25.302020202020206,51,-175.10204081632654,1.0935066962346949,0.21696872849090526,0.8765379677437897
25.302020202020206,51,-174.9579831932773,1.0937643191086777,0.21798239284933768,0.87578192625934
25.302020202020206,51,-174.8139255702281,1.0940257815043348,0.21902644401314567,0.8749993374911892
25.302020202020206,51,-174.6698679471789,1.0942907718424033,0.2201009649567951,0.8741898068856082
25.302020202020206,51,-174.52581032412965,1.094558969697437,0.22120604053695267,0.8733529291604842
25.302020202020206,51,-174.38175270108044,1.0948300457957223,0.22234175745339518,0.8724882883423271
25.302020202020206,51,-174.2376950780312,1.095103662013517,0.2235082042086916,0.8715954578048255
25.302020202020206,51,-174.093637454982,1.0953794713758116,0.22470547106664532,0.8706740003091663
25.302020202020206,51,-173.94957983193277,1.0956571180556476,0.22593365000948973,0.8697234680461579
25.302020202020206,51,-173.80552220888356,1.0959362373739254,0.22719283469381546,0.86874340268011
25.302020202020206,51,-173.66146458583432,1.0962164557998606,0.22848312040522864,0.8677333353946319
25.302020202020206,51,-173.51740696278512,1.0964973909520257,0.22980460401171524,0.8666927869403105
25.302020202020206,51,-173.37334933973588,1.0967786516001634,0.2311573839157126,0.8656212676844508
25.302020202020206,51,-173.22929171668667,1.0970598376676723,0.23254156000485798,0.8645182776628144
25.302020202020206,51,-173.08523409363747,1.0973405402349192,0.23395723360141973,0.8633833066334995
25.302020202020206,51,-172.94117647058823,1.09762034154334,0.2354045074103831,0.862215834132957
25.302020202020206,51,-172.79711884753902,1.0978988150004323,0.23688348546618443,0.8610153295342479
25.302020202020206,51,-172.6530612244898,1.0981755251857108,0.2383942730780803,0.8597812521076305
25.302020202020206,51,-172.50900360144058,1.09845002785759,0.23993697677413325,0.8585130510834567
